,FILENAME,TEXT,ANNOTATION,START,END,SPEAKER
0,202110121411sxj2ulsjMAYJK.csv,Und stell es hier an die Seite.,1,00:00:01:59,00:00:03:21,Mitarbeiter
1,202110121411sxj2ulsjMAYJK.csv,Mhm (bejahend).,1,00:00:09:44,00:00:09:77,Kundin
2,202110121411sxj2ulsjMAYJK.csv,"Weil, genau, weil, äh, hier auf, wenn man das an dem, an die, ähm, Wand stellt, //",1,00:00:09:78,00:00:14:25,Mitarbeiter
3,202110121411sxj2ulsjMAYJK.csv,Hört man nich. //,0,00:00:14:25,00:00:14:39,Kundin
4,202110121411sxj2ulsjMAYJK.csv,"ist es schwer, schwer zu hören. Genau. Deshalb sprech ich auch 'n bisschen lauter.",1,00:00:14:39,00:00:18:53,Mitarbeiter
5,202110121411sxj2ulsjMAYJK.csv,Okay.,1,00:00:19:36,00:00:20:28,Kundin
6,202110121411sxj2ulsjMAYJK.csv,"Okay, Frau [Name1], ich grüße Sie noch mal. Ähm, wenn Sie vielleicht so nett wären, mir kurz zu erzählen, was jetz los is bei Ihnen, was Job angeht und Krankheit.",1,00:00:20:48,00:00:33:02,Mitarbeiter
7,202110121411sxj2ulsjMAYJK.csv,"Also ich bin immer an, mh, bei Therapeuten grade, äh, paar Woche / Äh, ich hatte eine Therapie, ähm, beendet. Das war, äh, ähm, 'ne Verhaltenstherapie. Ja.",1,00:00:33:75,00:00:52:45,Kundin
8,202110121411sxj2ulsjMAYJK.csv,Ja.,1,00:00:52:79,00:00:52:90,Mitarbeiter
9,202110121411sxj2ulsjMAYJK.csv,"Aber ich bin immer auf der Suche. Ich, ich sollte eigentlich Traumatherapie haben.",1,00:00:52:95,00:00:58:70,Kundin
10,202110121411sxj2ulsjMAYJK.csv,Ja.,1,00:00:59:02,00:00:59:25,Mitarbeiter
11,202110121411sxj2ulsjMAYJK.csv,"Und das ist ganz schwer, jemanden zu finden.",1,00:00:59:50,00:01:01:75,Kundin
12,202110121411sxj2ulsjMAYJK.csv,"Ja, glaub ich Ihnen.",1,00:01:03:75,00:01:04:26,Mitarbeiter
13,202110121411sxj2ulsjMAYJK.csv,"Ne? Und, äh, ja, das habe ich Schwierigkeiten jemanden zu finden. Und, äh, wenn ich habe natürlich schon gefunden eine Psychologin in [Ortsname1], zum Beispiel. Dass sie hat mich gesagt, sie konnte das nich machen",1,00:01:04:27,00:01:21:13,Kundin
14,202110121411sxj2ulsjMAYJK.csv,Mhm (bejahend).,1,00:01:21:16,00:01:21:91,Mitarbeiter
15,202110121411sxj2ulsjMAYJK.csv,"mit mir, ne. Deswegen, dass ich bin Single, ne, Single. Also, äh, sie weiß nich, was in mein Kopf geht danach, ne. Weil ich allein zu Hause bin. Also hier is ein Punkt, wo ich weiß nich, wo weiter, wie weiter soll das gehen.",0,00:01:21:93,00:01:40:54,Kundin
16,202110121411sxj2ulsjMAYJK.csv,"Gut. Äh, vielleicht für mich kurz zum Verstehen. Sie sind zuletzt in 'ner Klinik gewesen, in der [Klinik1], äh, ich glaub im März.",0,00:01:41:23,00:01:49:29,Mitarbeiter
17,202110121411sxj2ulsjMAYJK.csv,Ich war drei Mal.,0,00:01:51:66,00:01:52:45,Kundin
18,202110121411sxj2ulsjMAYJK.csv,Drei Mal.,0,00:01:53:30,00:01:53:83,Mitarbeiter
19,202110121411sxj2ulsjMAYJK.csv,"Ich weiß ich nich. Ich war erste ich war Tagesklinik. Selber habe mich entschieden, zum Tagesklinik zu gehen. Äh, werden sag mal, ich hatte gedacht, dass sind Panikattacken, ne. Ähm, danach ich hatte richtig Panik nach paar Monate dann ich war schon zu Hause, richtige Panikattacke bekommen. Deswegen, äh, ich hatt, äh, äh, den, den, äh, Krankenwagen angerufen. Eigentlich mein Nachbar, ich hab mein Nachbar ge-, äh, gebittet, ne. Äh, und das war diese stationäre. Und noch danach war noch, ich war noch mal in Tagesklinik, ne.",0,00:01:53:86,00:02:34:94,Kundin
20,202110121411sxj2ulsjMAYJK.csv,Also wiederholt in Tagesklinik.,0,00:02:34:96,00:02:36:92,Mitarbeiter
21,202110121411sxj2ulsjMAYJK.csv,"Ja, ja.",0,00:02:36:92,00:02:37:47,Kundin
22,202110121411sxj2ulsjMAYJK.csv,"Und immer aus dem gleichen Grund,",0,00:02:37:55,00:02:38:91,Mitarbeiter
23,202110121411sxj2ulsjMAYJK.csv,Ja.,0,00:02:39:21,00:02:39:27,Kundin
24,202110121411sxj2ulsjMAYJK.csv,dass Sie Panikattacken haben.,0,00:02:39:28,00:02:40:78,Mitarbeiter
25,202110121411sxj2ulsjMAYJK.csv,"Ich denke nich, das sind Panikattacke. Und die Ärzte sagen, das is nich so, nich so typische Panikattacken. Also, äh, bei mir jetz ich habe Angst, aber nich tödliche Angst. Nur meine Körper is am Zittern einfach. Und das macht mich Angst, ne.",0,00:02:40:78,00:03:02:05,Kundin
26,202110121411sxj2ulsjMAYJK.csv,"Mhm (bejahend). Okay. So okay, Sie sagen Sie suchen, äh, 'ne spezielle TraumatherapeutIn, also auch 'ne Frau.",0,00:03:02:07,00:03:06:83,Mitarbeiter
27,202110121411sxj2ulsjMAYJK.csv,"Oder Therapeut, // das is mir egal.",0,00:03:06:83,00:03:08:61,Kundin
28,202110121411sxj2ulsjMAYJK.csv,"Oder Therapeut, egal. Okay. //",0,00:03:09:83,00:03:10:30,Mitarbeiter
29,202110121411sxj2ulsjMAYJK.csv,"Hauptsache geht etwas weiter, ne. Jetz grade vor, äh, paar Tage, vorgestern, gestern, paar Tage, habe ich bekommen, ähm, m- meine, meine Bekannte von Tagesklinik hat mich gesagt: ""Pass auf in [Ortsname2] is ein, vielleicht das, das kannst du die Traumatherapie machen, ne""",1,00:03:10:30,00:03:33:03,Kundin
30,202110121411sxj2ulsjMAYJK.csv,Ja.,1,00:03:33:03,00:03:33:19,Mitarbeiter
31,202110121411sxj2ulsjMAYJK.csv,"Nur ich habe diese Angst, dass ich komme schon wieder auf eine Therapeut, der sagt mich. ""Sorry, aber du bist 'n bisschen irre.""",0,00:03:33:30,00:03:41:10,Kundin
32,202110121411sxj2ulsjMAYJK.csv,"Okay, also Sie haben Angst davor, abgelehnt zu werden.",0,00:03:41:10,00:03:43:75,Mitarbeiter
33,202110121411sxj2ulsjMAYJK.csv,"Ja, ja.",0,00:03:43:82,00:03:44:11,Kundin
34,202110121411sxj2ulsjMAYJK.csv,Okay.,0,00:03:46:19,00:03:46:28,Mitarbeiter
35,202110121411sxj2ulsjMAYJK.csv,"Und das is wichtig für Traumatherapie, ne. Danach so- konnte ich die Verhaltenstherapie haben.",0,00:03:46:33,00:03:52:17,Kundin
36,202110121411sxj2ulsjMAYJK.csv,Ja.,0,00:03:52:17,00:03:52:17,Mitarbeiter
37,202110121411sxj2ulsjMAYJK.csv,"Und bei mir war das umgekehrt, ne. Äh, jetzt zum Beispiel is APP bei mir. APP das is ambulante psychiatrische Etwas.",0,00:03:52:17,00:04:02:27,Kundin
38,202110121411sxj2ulsjMAYJK.csv,Wie ha- wie heißt das?,0,00:04:02:27,00:04:02:80,Mitarbeiter
39,202110121411sxj2ulsjMAYJK.csv,APP,0,00:04:02:80,00:04:02:92,Kundin
40,202110121411sxj2ulsjMAYJK.csv,"APP, okay.",0,00:04:02:92,00:04:03:38,Mitarbeiter
41,202110121411sxj2ulsjMAYJK.csv,"Ja. Das is, äh, das kommt jemand bei mir, nach Hause zweimal in Woche. Redet, redet mich bisschen, äh, das was ich fühle mich überfordert, ne. Äh, ja, hilft mich das, äh, einfach zu machen.",0,00:04:03:38,00:04:28:75,Kundin
42,202110121411sxj2ulsjMAYJK.csv,Im Alltag jetzt auch?,0,00:04:31:66,00:04:32:80,Mitarbeiter
43,202110121411sxj2ulsjMAYJK.csv,"Ja, ja. zweimal in Woche. Mhm (bejahend).",0,00:04:32:86,00:04:37:41,Kundin
44,202110121411sxj2ulsjMAYJK.csv,Okay. Und wer bezahlt das?,0,00:04:37:52,00:04:39:64,Mitarbeiter
45,202110121411sxj2ulsjMAYJK.csv,Krankenkasse.,0,00:04:41:16,00:04:41:30,Kundin
46,202110121411sxj2ulsjMAYJK.csv,Also Sie haben im Grunde 'ne Haushaltshilfe?,0,00:04:41:32,00:04:43:82,Mitarbeiter
47,202110121411sxj2ulsjMAYJK.csv,Das is nich Haushalt. Er putzt nich bei mir nich oder kocht. (übersprechen 00:04:47),0,00:04:44:41,00:04:47:32,Kundin
48,202110121411sxj2ulsjMAYJK.csv,Okay.,0,00:04:47:32,00:04:47:42,Mitarbeiter
49,202110121411sxj2ulsjMAYJK.csv,"Das is mehr Grund für die / ja, also er konnte mit mir fahren, irgendwo zum Beispiel, ne. Dass ich habe Problem rausgehen, ne. Äh, also suchen.",0,00:04:48:82,00:05:03:30,Kundin
50,202110121411sxj2ulsjMAYJK.csv,"Und er begleitet Sie auch auf Spaziergängen, zum Beispiel.",0,00:05:04:10,00:05:07:20,Mitarbeiter
51,202110121411sxj2ulsjMAYJK.csv,Nein.,0,00:05:07:77,00:05:08:08,Kundin
52,202110121411sxj2ulsjMAYJK.csv,Das nich.,0,00:05:08:60,00:05:09:04,Mitarbeiter
53,202110121411sxj2ulsjMAYJK.csv,"Nee, das macht nich, nur deswegen weil ich möchte nich. Aber wenn ich werde bitten ihn, das zu mich das machen, also da- das werde machen, ne.",0,00:05:09:36,00:05:18:17,Kundin
54,202110121411sxj2ulsjMAYJK.csv,Okay.,0,00:05:18:17,00:05:20:73,Mitarbeiter
55,202110121411sxj2ulsjMAYJK.csv,"Also diese, diese, diese Nachfragen muss von mir kommen und ich habe Schwierigkeit zu machen, zum Hilfe bitten.",0,00:05:20:75,00:05:26:42,Kundin
56,202110121411sxj2ulsjMAYJK.csv,Okay.,0,00:05:26:42,00:05:27:00,Mitarbeiter
57,202110121411sxj2ulsjMAYJK.csv,"Deswegen, das is bisschen, ja.",0,00:05:27:00,00:05:27:26,Kundin
58,202110121411sxj2ulsjMAYJK.csv,"Ähm, wie hieß das APP?",0,00:05:27:26,00:05:28:63,Mitarbeiter
59,202110121411sxj2ulsjMAYJK.csv,Ja.,0,00:05:28:63,00:05:28:95,Kundin
60,202110121411sxj2ulsjMAYJK.csv,"Ähm, is das von der Klinik, äh, //",0,00:05:28:95,00:05:29:13,Mitarbeiter
61,202110121411sxj2ulsjMAYJK.csv,[Ortsname3].,0,00:05:29:14,00:05:29:39,Kundin
62,202110121411sxj2ulsjMAYJK.csv,"[Ortsname3], äh,",0,00:05:29:39,00:05:31:47,Mitarbeiter
63,202110121411sxj2ulsjMAYJK.csv,Ja. // (übersprechen),0,00:05:31:48,00:05:38:07,Kundin
64,202110121411sxj2ulsjMAYJK.csv,(übersprechen) worden. Okay.,0,00:05:38:95,00:05:39:54,Mitarbeiter
65,202110121411sxj2ulsjMAYJK.csv,"Ja, ja, das war, ja, das war, äh, ähm, ja, dass schwere Depression is bei mir, ne. Und das is nich so einfach rauszukommen.",0,00:05:39:54,00:05:47:57,Kundin
66,202110121411sxj2ulsjMAYJK.csv,Ja.,0,00:05:47:60,00:05:52:17,Mitarbeiter
67,202110121411sxj2ulsjMAYJK.csv,Ob wirklich mache nich mehr.,0,00:05:52:19,00:05:55:20,Kundin
68,202110121411sxj2ulsjMAYJK.csv,"Ja. Gut. Ähm, Moment. (Stille 00:06:03-00:06:14) Ja. Okay, ähm, ich sch- schau mal kurz noch mal in Ihren Fall rein, weil Sie haben ja probiert zu arbeiten. Ne? Sie waren,",0,00:05:55:20,00:06:25:64,Mitarbeiter
69,202110121411sxj2ulsjMAYJK.csv,Ja.,0,00:06:25:64,00:06:25:76,Kundin
70,202110121411sxj2ulsjMAYJK.csv,ich hab irgendwas gelesen von 'ner Kündigung.,0,00:06:27:35,00:06:29:11,Mitarbeiter
71,202110121411sxj2ulsjMAYJK.csv,"Ja, ich möchte zurück unbedingt ob der Arbeit wegen, ne.",0,00:06:30:61,00:06:32:58,Kundin
72,202110121411sxj2ulsjMAYJK.csv,Mhm (bejahend).,0,00:06:32:58,00:06:32:66,Mitarbeiter
73,202110121411sxj2ulsjMAYJK.csv,"Das ha- war mir wichtig. Ich bin auch ein Mensch, welche, äh, is nich so, dass ich arbeite nich, oder so. Ich gerne arbeite und möchte gerne arbeiten. Aber, äh, genau die Therapeute und die Ärzte und alles hat mich gebremst, gebremst. Das, ja. Ich habe auch ein Jahr private Therapie gemacht mit, in meine Muttersprache, aber leider nach, wann ich den Job verloren habe das, äh, finanziell geht nich (unv 00:07:06).",0,00:06:34:58,00:07:05:27,Kundin
74,202110121411sxj2ulsjMAYJK.csv,"Mhm, mhm (bejahend). Okay, also ich sehe hier, dass Sie zuletzt bei [Firmenname1] in [Ortsname4] gearbeitet haben.",0,00:07:07:94,00:07:14:92,Mitarbeiter
75,202110121411sxj2ulsjMAYJK.csv,"Nee, bei [Firmenname2].",0,00:07:16:01,00:07:16:11,Kundin
76,202110121411sxj2ulsjMAYJK.csv,Bei [Firmenname2]?,0,00:07:16:11,00:07:20:55,Mitarbeiter
77,202110121411sxj2ulsjMAYJK.csv,Ja.,0,00:07:20:57,00:07:20:75,Kundin
78,202110121411sxj2ulsjMAYJK.csv,"Das is bei uns gar nich im, äh, Rechner drinne.",0,00:07:20:76,00:07:23:23,Mitarbeiter
79,202110121411sxj2ulsjMAYJK.csv,Aha.,0,00:07:24:85,00:07:24:92,Kundin
80,202110121411sxj2ulsjMAYJK.csv,"Also [Firmenname2], und was haben Sie dort gemacht?",0,00:07:24:92,00:07:25:70,Mitarbeiter
81,202110121411sxj2ulsjMAYJK.csv,"Ich war angestellt, äh, mh, auf die Waage. [Firmenname2] das is, mh,",0,00:07:25:70,00:07:32:75,Kundin
82,202110121411sxj2ulsjMAYJK.csv,Abfall entsorgen. Ja.,0,00:07:32:75,00:07:34:20,Mitarbeiter
83,202110121411sxj2ulsjMAYJK.csv,"Und das is / Ich, äh, war auf die Waage gestellt und wenn die, äh, Büroarbeit einfach tätig, ne. Äh, wenn die Papiere haben bekommen, dass ich hat aufgenommen, wer ist was mitgebracht. Und mit Funkgerät habe ich gesagt, wo und welche Strecke zu fahren, und welche Magazin kommt.",0,00:07:34:29,00:07:56:48,Kundin
84,202110121411sxj2ulsjMAYJK.csv,"Haben, haben Sie in [Ortsname5] gearbeitet, //",0,00:07:56:51,00:07:57:85,Mitarbeiter
85,202110121411sxj2ulsjMAYJK.csv,"Ja, ja.",0,00:07:57:85,00:07:58:10,Kundin
86,202110121411sxj2ulsjMAYJK.csv,auf der Deponie? //,0,00:07:59:98,00:08:00:17,Mitarbeiter
87,202110121411sxj2ulsjMAYJK.csv,"Ja, ja.",0,00:08:00:20,00:08:00:20,Kundin
88,202110121411sxj2ulsjMAYJK.csv,"Ah, okay.",0,00:08:00:22,00:08:00:17,Mitarbeiter
89,202110121411sxj2ulsjMAYJK.csv,"Und in dieser Arbeit, das hat angefangen.",0,00:08:04:54,00:08:07:26,Kundin
90,202110121411sxj2ulsjMAYJK.csv,Mhm (bejahend). Und wie lang haben Sie das gemacht?,0,00:08:08:52,00:08:10:29,Mitarbeiter
91,202110121411sxj2ulsjMAYJK.csv,Ein Jahr.,0,00:08:10:75,00:08:11:20,Kundin
92,202110121411sxj2ulsjMAYJK.csv,"Von, von wann bis wann?",0,00:08:12:45,00:08:12:80,Mitarbeiter
93,202110121411sxj2ulsjMAYJK.csv,"Äh, ab, äh, ab erste März 2019. Wenn, äh, Sie meins meine Arbeitsvertrag, ja, wie, oder?",0,00:08:14:76,00:08:26:27,Kundin
94,202110121411sxj2ulsjMAYJK.csv,Ja.,0,00:08:26:36,00:08:26:42,Mitarbeiter
95,202110121411sxj2ulsjMAYJK.csv,"Äh, ab ersten, äh Moment, erste April 2019 bis 31. März 2020.",0,00:08:26:47,00:08:33:71,Kundin
96,202110121411sxj2ulsjMAYJK.csv,31. März. // 2020,0,00:08:34:75,00:08:40:17,Mitarbeiter
97,202110121411sxj2ulsjMAYJK.csv,20 //,0,00:08:41:91,00:08:43:09,Kundin
98,202110121411sxj2ulsjMAYJK.csv,"20. Weil ich hab hier drinne stehen, Helfer, Lebensmittelherstellung.",0,00:08:43:10,00:08:48:39,Mitarbeiter
99,202110121411sxj2ulsjMAYJK.csv,"Ja, da- das war vor. Ja. Ja.",0,00:08:48:91,00:08:50:94,Kundin
100,202110121411sxj2ulsjMAYJK.csv,"Bei, bei [Firmenname1].",0,00:08:50:95,00:08:51:26,Mitarbeiter
